P,E,Pr,RUNOFF
0.28,3,0.463621322734986,2.00682098583252
0,3.6,0.428745965213277,1.71383160760716
0,2.6,0.404196450828709,1.45029810100721
1.84,1.1,0.885747048947471,1.33577087031184
0.53,2.1,0.387501559319671,1.28422037579177
0,1.7,0.371810698190075,1.17378522859256
0.5,1.1,0.364498230404724,1.07671432257442
7.03,0.8,4.38367098155698,1.15399873973182
7.62,0.6,4.94918000958967,1.73314831964046
5.09,2.7,1.95830656630818,2.16430449235494
22.66,2.7,13.6969200139076,2.63429453675772
18.24,1.4,11.9377438652164,5.4201839441681
0,2.5,0.481870774826049,6.62488164486973
0,3.4,0.4473016724123,4.40345610083222
0.03,1.7,0.429191447256694,3.16999666711793
8.82,0.7,5.84766558063027,2.91293264807521
8.21,1.2,5.16838366789408,3.72039429056469
12.75,1.6,8.05924045177959,4.3848378525007
0.1,1.8,0.47994715268437,4.87384633602813
0,3.7,0.442987778624334,3.54684785133882
0,1.9,0.423208934268758,2.69875618852856
16.15,2.5,9.55422392366622,2.79112300941577
22.55,1.3,15.0139188604806,5.14107982945641
16.18,0.2,11.6984826952377,8.5081854499035
1.36,1.8,0.56504361136666,8.60301667489313
17.23,6.8,7.9204308981549,6.05900553623197
78.65,3.8,56.2976670824571,12.3123101682885
22.59,0.1,18.1590989794017,35.1377707639936
4.24,2,2.64833132544452,20.4965619115076
4.28,2.5,2.28290868791926,10.0042263546001
5.47,1.2,4.19708950290936,6.73478017013227
1.4,0.2,1.82566977861624,5.65522657617036
0.01,1.4,0.868041710008051,4.38940802794197
0.82,1.4,0.845404730952295,3.40661285872855
9.9,2.5,6.47080356734714,3.17848320362036
0.11,3.4,0.798840473044876,3.74982551711732
0,4.1,0.731208896132011,3.00632257662723
0,4.5,0.664623027274051,2.4261748980441
0,4.4,0.605284943051656,2.10230570684281
0,4.7,0.54822934545884,1.85620687473755
0,3.5,0.507834534420735,1.65899511643236
0.38,3.9,0.470298651195445,1.49858684329607
0.17,2.6,0.444696604066801,1.36565337801899
9.78,1.4,6.07674461171899,1.49036592692573
17.4,0.5,12.0206899890895,2.7105109922639
5.95,2.2,3.10173240385219,4.46663121905239
2.82,3,0.5177061053327,3.77869297559204
0,3.5,0.479607618540962,2.77657220318407
10.74,4.1,5.00071548683761,2.52743896682388
